index_code,date,open,close,low,high,volume,money,change
sh000905,2021/2/3,6459.66,6399.33,6399.33,6484.49,14545715500,1.76E+11,-0.008592069
sh000905,2021/2/2,6404.85,6454.79,6361.09,6459.48,13239431300,1.62E+11,0.00962104
sh000905,2021/2/1,6338.64,6393.28,6328.34,6397.01,13732518300,1.58E+11,0.007428137
sh000905,2021/1/29,6448.67,6346.14,6255.7,6462.37,14604158100,1.72E+11,-0.010638596
sh000905,2021/1/28,6475.86,6414.38,6405.81,6529.84,14482540600,1.75E+11,-0.021774671
sh000905,2021/1/27,6527.68,6557.16,6481.16,6564.29,13976004900,1.75E+11,0.003704293
sh000905,2021/1/26,6621.15,6532.96,6515.26,6624.45,14337131100,1.92E+11,-0.01690666
sh000905,2021/1/25,6636.22,6645.31,6599.97,6711.57,16562310300,2.24E+11,0.001129891
sh000905,2021/1/22,6619.86,6637.81,6573.82,6643.67,15806231000,2.03E+11,0.002311816
sh000905,2021/1/21,6552.03,6622.5,6550.88,6649.86,15680958700,1.89E+11,0.013324316
sh000905,2021/1/20,6477.67,6535.42,6449.28,6535.48,12852543200,1.53E+11,0.009117762
sh000905,2021/1/19,6510.48,6476.37,6456.12,6532.65,14761671600,1.75E+11,-0.005846993
sh000905,2021/1/18,6414.83,6514.46,6392.07,6529.41,13683280700,1.70E+11,0.015108687
sh000905,2021/1/15,6427.13,6417.5,6339.43,6447.88,13824319900,1.67E+11,-0.003476767
sh000905,2021/1/14,6471.79,6439.89,6402.6,6516.27,16302381600,1.99E+11,-0.00877648
sh000905,2021/1/13,6550.03,6496.91,6457.88,6553.65,18491342000,2.23E+11,-0.007079073
sh000905,2021/1/12,6425.81,6543.23,6425.81,6543.23,16231123700,1.99E+11,0.013605663
sh000905,2021/1/11,6557.45,6455.4,6419.73,6572.85,18325727100,2.18E+11,-0.01558497
sh000905,2021/1/8,6541.56,6557.6,6484.4,6598.38,18083742900,2.07E+11,0.00297945
sh000905,2021/1/7,6523.68,6538.12,6467.44,6567.27,19713564100,2.19E+11,0.001528766
sh000905,2021/1/6,6549.73,6528.14,6472.74,6569.2,17852108600,2.09E+11,-0.001772244
sh000905,2021/1/5,6470.25,6539.73,6452.52,6539.73,19672629200,2.27E+11,0.008783255
sh000905,2021/1/4,6395.61,6482.79,6359.08,6501.59,18662120900,2.11E+11,0.018168368
sh000905,2020/12/31,6282.96,6367.11,6281.01,6370.57,16019408600,1.74E+11,0.015609523
sh000905,2020/12/30,6196.45,6269.25,6188.59,6289.27,13804167300,1.48E+11,0.011193819
sh000905,2020/12/29,6240.74,6199.85,6196.41,6280.04,15447603200,1.56E+11,-0.007147112
sh000905,2020/12/28,6283.78,6244.48,6219.09,6288.24,14896021400,1.60E+11,-0.005418492
sh000905,2020/12/25,6190.99,6278.5,6186.03,6284.59,13447826700,1.44E+11,0.011809412
sh000905,2020/12/24,6308.48,6205.22,6202.4,6308.48,13122165300,1.48E+11,-0.016231213
sh000905,2020/12/23,6255.35,6307.6,6242.62,6330.6,14404432300,1.66E+11,0.009206312
sh000905,2020/12/22,6372.88,6250.06,6241.56,6378.5,15131061800,1.72E+11,-0.023214453
sh000905,2020/12/21,6302.26,6398.6,6293.92,6401.55,13634782200,1.57E+11,0.016955079
